Corno di Rosazzo comune,Corno di Rosazzo comune.1
(IT) Corno di Rosazzo (FUR) Cuar di Rosacis [1],(IT) Corno di Rosazzo (FUR) Cuar di Rosacis [1]
,
Corno di Rosazzo – VedutaPiazza XXVII Maggio.,Corno di Rosazzo – VedutaPiazza XXVII Maggio.
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Udine
Amministrazione,Amministrazione
Sindaco,Daniele Moschioni (Lega) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,45°59′N 13°27′E
Altitudine,88 m s.l.m.
Superficie,"12,62 km²"
Abitanti,3 098[2] (30-11-2025)
Densità,"245,48 ab./km²"
Frazioni,"Casali Cumini, Casali Gallo, Casali Godia, Gramogliano, Noax, Quattroventi, Sant'Andrat del Judrio, Visinale del Judrio"
Comuni confinanti,"Cividale del Friuli, Cormons (GO), Dolegna del Collio (GO), Manzano, Premariacco, Prepotto, San Giovanni al Natisone"
Altre informazioni,Altre informazioni
Lingue,"italiano, friulano"
Cod. postale,33040
Prefisso,0432
Fuso orario,UTC+1
Codice ISTAT,030030
Cod. catastale,D027
Targa,UD
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 340 GG[4]"
Nome abitanti,cornesi
Patrono,Santa Maria del Rosario
Giorno festivo,7 ottobre
Cartografia,Cartografia
Corno di Rosazzo,Corno di Rosazzo
Corno di Rosazzo – MappaPosizione del comune di Corno di Rosazzo nella ex provincia di Udine,Corno di Rosazzo – MappaPosizione del comune di Corno di Rosazzo nella ex provincia di Udine
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
