Lignano Sabbiadoro comune,Lignano Sabbiadoro comune.1
(IT) Lignano Sabbiadoro (FUR) Lignan[1],(IT) Lignano Sabbiadoro (FUR) Lignan[1]
,
Lignano Sabbiadoro – Veduta,Lignano Sabbiadoro – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Udine
Amministrazione,Amministrazione
Sindaco,Laura Giorgi (centro-destra) dal 13-6-2022
Territorio,Territorio
Coordinate,45°39′18″N 13°05′35″E
Altitudine,2 m s.l.m.
Superficie,"15,71 km²"
Abitanti,6 977[2] (30-11-2025)
Densità,"444,11 ab./km²"
Frazioni,"Lignano Pineta, Lignano Riviera"
Comuni confinanti,"Latisana, Marano Lagunare, San Michele al Tagliamento (VE)"
Altre informazioni,Altre informazioni
Cod. postale,33054
Prefisso,0431
Fuso orario,UTC+1
Codice ISTAT,030049
Cod. catastale,E584
Targa,UD
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 393 GG[4]"
Nome abitanti,lignanesi
Patrono,san Giovanni Bosco
Giorno festivo,31 gennaio
Cartografia,Cartografia
Lignano Sabbiadoro,Lignano Sabbiadoro
Lignano Sabbiadoro – MappaPosizione del comune di Lignano Sabbiadoro in provincia di Udine,Lignano Sabbiadoro – MappaPosizione del comune di Lignano Sabbiadoro in provincia di Udine
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
