Forni di Sopra comune,Forni di Sopra comune.1
(IT) Forni di Sopra (FUR) For Disore[1],(IT) Forni di Sopra (FUR) For Disore[1]
,
Forni di Sopra – Veduta,Forni di Sopra – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Udine
Amministrazione,Amministrazione
Sindaco,Iginio Coradazzi (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,46°25′12.82″N 12°35′08.15″E
Altitudine,907 m s.l.m.
Superficie,"81,66 km²"
Abitanti,890[2] (30-11-2025)
Densità,"10,9 ab./km²"
Frazioni,"Andrazza, Cella, Vico"
Comuni confinanti,"Cimolais (PN), Claut (PN), Domegge di Cadore (BL), Lorenzago di Cadore (BL), Forni di Sotto, Sauris, Vigo di Cadore (BL)"
Altre informazioni,Altre informazioni
Lingue,"italiano, friulano dialetto fornese"
Cod. postale,33024
Prefisso,0433
Fuso orario,UTC+1
Codice ISTAT,030041
Cod. catastale,D719
Targa,UD
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona F, 3 798 GG[4]"
Nome abitanti,fornesi
Patrono,Santa Maria Assunta e Madonna della Salute
Giorno festivo,15 agosto e 21 novembre
Cartografia,Cartografia
Forni di Sopra,Forni di Sopra
Forni di Sopra – MappaPosizione del comune di Forni di Sopra nella ex provincia di Udine,Forni di Sopra – MappaPosizione del comune di Forni di Sopra nella ex provincia di Udine
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
