Treppo Grande comune,Treppo Grande comune.1
(IT) Treppo Grande (FUR) Trep Grant [1],(IT) Treppo Grande (FUR) Trep Grant [1]
,
Treppo Grande – VedutaChiesa di Treppo Grande al tramonto,Treppo Grande – VedutaChiesa di Treppo Grande al tramonto
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Udine
Amministrazione,Amministrazione
Sindaco,Sara Tosolini (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,46°12′N 13°09′E
Altitudine,231 m s.l.m.
Superficie,"11,32 km²"
Abitanti,1 721[2] (30-11-2025)
Densità,"152,03 ab./km²"
Frazioni,"Carvacco, Treppo Piccolo, Vendoglio, Zegliacco, Zeglianutto[3]"
Comuni confinanti,"Buja, Cassacco, Colloredo di Monte Albano, Magnano in Riviera, Tricesimo, Artegna"
Altre informazioni,Altre informazioni
Lingue,"italiano, friulano"
Cod. postale,33010
Prefisso,0432
Fuso orario,UTC+1
Codice ISTAT,030126
Cod. catastale,L382
Targa,UD
Cl. sismica,zona 2 (sismicità media)[4]
Cl. climatica,"zona E, 2 506 GG[5]"
Nome abitanti,treppesi
Patrono,san Giuseppe
Giorno festivo,19 marzo
Cartografia,Cartografia
Treppo Grande,Treppo Grande
Treppo Grande – MappaPosizione del comune di Treppo Grande nella ex provincia di Udine,Treppo Grande – MappaPosizione del comune di Treppo Grande nella ex provincia di Udine
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
