Gemona del Friuli comune,Gemona del Friuli comune.1
(IT) Gemona del Friuli (FUR) Glemone[1],(IT) Gemona del Friuli (FUR) Glemone[1]
,
Gemona del Friuli – VedutaIl Duomo di Santa Maria Assunta,Gemona del Friuli – VedutaIl Duomo di Santa Maria Assunta
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Udine
Amministrazione,Amministrazione
Sindaco,Roberto Revelant (centro-destra) dal 30-4-2018
Territorio,Territorio
Coordinate,46°16′26.58″N 13°07′20.53″E
Altitudine,272 m s.l.m.
Superficie,"56,06 km²"
Abitanti,10 415[2] (30-11-2025)
Densità,"185,78 ab./km²"
Frazioni,"Campolessi, Maniaglia, Ospedaletto, Taboga, Stalis, Godo, Gois, Piovega."
Comuni confinanti,"Artegna, Bordano, Buja, Lusevera, Montenars, Osoppo, Trasaghis, Venzone"
Altre informazioni,Altre informazioni
Lingue,"italiano, friulano"
Cod. postale,33013
Prefisso,0432
Fuso orario,UTC+1
Codice ISTAT,030043
Cod. catastale,D962
Targa,UD
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona E, 2 488 GG[4]"
Nome abitanti,gemonesi (glemonês o glemonats in lingua friulana)
Patrono,sant'Antonio di Padova
Giorno festivo,13 giugno
Cartografia,Cartografia
Gemona del Friuli,Gemona del Friuli
Gemona del Friuli – MappaPosizione del comune di Gemona del Friuli nella ex provincia di Udine,Gemona del Friuli – MappaPosizione del comune di Gemona del Friuli nella ex provincia di Udine
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
