Forni di Sotto comune,Forni di Sotto comune.1
(IT) Forni di Sotto (FUR) For Disot [1],(IT) Forni di Sotto (FUR) For Disot [1]
,
Forni di Sotto – VedutaForni di Sotto,Forni di Sotto – VedutaForni di Sotto
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Udine
Amministrazione,Amministrazione
Sindaco,Claudio Coradazzi (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,46°24′N 12°40′E
Altitudine,777 m s.l.m.
Superficie,"93,6 km²"
Abitanti,522[2] (30-11-2025)
Densità,"5,58 ab./km²"
Frazioni,"Baselia, Tredolo, Vico"
Comuni confinanti,"Ampezzo, Claut (PN), Forni di Sopra, Sauris, Socchieve, Tramonti di Sopra (PN)"
Altre informazioni,Altre informazioni
Lingue,"italiano, friulano"
Cod. postale,33020
Prefisso,0433
Fuso orario,UTC+1
Codice ISTAT,030042
Cod. catastale,D720
Targa,UD
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona F, 3 715 GG[4]"
Nome abitanti,fornesi
Patrono,Madonna del Rosario
Giorno festivo,7 ottobre
Cartografia,Cartografia
Forni di Sotto,Forni di Sotto
Forni di Sotto – MappaPosizione del comune di Forni di Sotto nella ex provincia di Udine,Forni di Sotto – MappaPosizione del comune di Forni di Sotto nella ex provincia di Udine
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
