Malborghetto-Valbruna comune,Malborghetto-Valbruna comune.1
(IT) Malborghetto Valbruna (FUR) Malborghet e Valbrune[1] (SL) Naborjet-Ovčja vas[2] (DE) Malborgeth-Wolfsbach,(IT) Malborghetto Valbruna (FUR) Malborghet e Valbrune[1] (SL) Naborjet-Ovčja vas[2] (DE) Malborgeth-Wolfsbach
,
Malborghetto-Valbruna – VedutaIl capoluogo Malborghetto,Malborghetto-Valbruna – VedutaIl capoluogo Malborghetto
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Udine
Amministrazione,Amministrazione
Sindaco,Boris Preschern (lista civica) dal 25-5-2014
Territorio,Territorio
Coordinate,46°30′25.33″N 13°26′20.85″E
Altitudine,721 m s.l.m.
Superficie,"124,21 km²"
Abitanti,889[3] (30-11-2025)
Densità,"7,16 ab./km²"
Frazioni,"Bagni di Lusnizza, Malborghetto (sede comunale), Santa Caterina, Ugovizza, Valbruna Località: Cucco"
Comuni confinanti,"Chiusaforte, Dogna, Feistritz an der Gail (AT-2), Hermagor-Pressegger See (AT-2), Hohenthurn (AT-2), Pontebba, Sankt Stefan im Gailtal (AT-2), Tarvisio"
Altre informazioni,Altre informazioni
Lingue,"italiano, friulano, sloveno, tedesco"
Cod. postale,33010
Prefisso,0428
Fuso orario,UTC+1
Codice ISTAT,030054
Cod. catastale,E847
Targa,UD
Cl. sismica,zona 2 (sismicità media)[4]
Cl. climatica,"zona F, 3 680 GG[5]"
Nome abitanti,malborghettiani
Patrono,Maria santissima della Visitazione
Giorno festivo,2 luglio
Cartografia,Cartografia
Malborghetto-Valbruna,Malborghetto-Valbruna
Malborghetto-Valbruna – MappaPosizione del comune di Malborghetto-Valbruna nella ex provincia di Udine,Malborghetto-Valbruna – MappaPosizione del comune di Malborghetto-Valbruna nella ex provincia di Udine
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
