Cividale del Friuli comune,Cividale del Friuli comune.1
(IT) Cividale del Friuli (FUR) Cividât[1],(IT) Cividale del Friuli (FUR) Cividât[1]
,
Cividale del Friuli – VedutaVeduta di Cividale del Friuli con il Ponte del Diavolo e sullo sfondo il campanile del duomo di Santa Maria Assunta,Cividale del Friuli – VedutaVeduta di Cividale del Friuli con il Ponte del Diavolo e sullo sfondo il campanile del duomo di Santa Maria Assunta
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Udine
Amministrazione,Amministrazione
Sindaco,Daniela Bernardi (centro-destra) dal 22-9-2020
Territorio,Territorio
Coordinate,46°05′25.8″N 13°26′06″E
Altitudine,135 m s.l.m.
Superficie,"50,65 km²"
Abitanti,10 817[2] (30-11-2025)
Densità,"213,56 ab./km²"
Frazioni,"Carraria, Fornalis, Gagliano, Grupignano, Purgessimo, Rualis, Rubignacco, San Giorgio, Sanguarzo, Spessa[3]"
Comuni confinanti,"Corno di Rosazzo, Moimacco, Premariacco, Prepotto, San Pietro al Natisone, Torreano"
Altre informazioni,Altre informazioni
Lingue,"italiano, friulano"
Cod. postale,33043
Prefisso,0432
Fuso orario,UTC+1
Codice ISTAT,030026
Cod. catastale,C758
Targa,UD
Cl. sismica,zona 2 (sismicità media)[4]
Cl. climatica,"zona E, 2 676 GG[5]"
Nome abitanti,cividalesi
Patrono,santi Donato e Romolo
Giorno festivo,21 agosto
Cartografia,Cartografia
Cividale del Friuli,Cividale del Friuli
Cividale del Friuli – MappaPosizione del comune di Cividale del Friuli nella ex provincia di Udine,Cividale del Friuli – MappaPosizione del comune di Cividale del Friuli nella ex provincia di Udine
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
