Rivignano Teor comune,Rivignano Teor comune.1
(IT) Rivignano Teor (FUR) Rivignan Teôr[1],(IT) Rivignano Teor (FUR) Rivignan Teôr[1]
,
"Rivignano Teor – VedutaIl centro di Rivignano, sede comunale, con il campanile della chiesa parrocchiale.","Rivignano Teor – VedutaIl centro di Rivignano, sede comunale, con il campanile della chiesa parrocchiale."
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Udine
Amministrazione,Amministrazione
Sindaco,Fabrizio Mattiussi (lista civica) dal 10-6-2024
Data di istituzione,1º gennaio 2014
Territorio,Territorio
Coordinate,45°52′47″N 13°02′33″E
Altitudine,13 m s.l.m.
Superficie,"47,43 km²"
Abitanti,6 319[2] (30-11-2025)
Densità,"133,23 ab./km²"
Frazioni,"Ariis, Campomolle, Chiarmacis, Driolassa, Flambruzzo, Rivignano (sede comunale), Rivarotta, Sella, Sivigliano, Teor[3]"
Comuni confinanti,"Bertiolo, Palazzolo dello Stella, Pocenia, Ronchis, Varmo, Talmassons"
Altre informazioni,Altre informazioni
Lingue,"italiano, friulano"
Cod. postale,33061
Prefisso,0432
Fuso orario,UTC+1
Codice ISTAT,030188
Cod. catastale,M317
Targa,UD
Cl. sismica,zona 3 (sismicità bassa)[4]
Nome abitanti,"rivignanesi, teoresi"
Patrono,san Giovanni Paolo II
Giorno festivo,22 ottobre
Cartografia,Cartografia
Rivignano Teor,Rivignano Teor
Rivignano Teor – MappaPosizione del comune di Rivignano Teor nella ex provincia di Udine,Rivignano Teor – MappaPosizione del comune di Rivignano Teor nella ex provincia di Udine
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
