Rive d'Arcano comune,Rive d'Arcano comune.1
(IT) Rive d'Arcano (FUR) Rivis d'Arcjan[1],(IT) Rive d'Arcano (FUR) Rivis d'Arcjan[1]
,
Rive d'Arcano – VedutaVista del Castello,Rive d'Arcano – VedutaVista del Castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Udine
Amministrazione,Amministrazione
Sindaco,Gabriele Contardo (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,46°08′N 13°02′E
Altitudine,175 m s.l.m.
Superficie,"22,57 km²"
Abitanti,2 406[2] (30-11-2025)
Densità,"106,6 ab./km²"
Frazioni,"Arcano Inferiore, Arcano Superiore, Giavons, Pozzalis, Raucicco, Rivotta, Rodeano Alto, Rodeano Basso[3]"
Comuni confinanti,"Colloredo di Monte Albano, Coseano, Dignano, Fagagna, Majano, San Daniele del Friuli, San Vito di Fagagna"
Altre informazioni,Altre informazioni
Lingue,"italiano, friulano"
Cod. postale,33030
Prefisso,0432
Fuso orario,UTC+1
Codice ISTAT,030095
Cod. catastale,H347
Targa,UD
Cl. sismica,zona 2 (sismicità media)[4]
Cl. climatica,"zona E, 2 406 GG[5]"
Nome abitanti,rivearcanesi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Rive d'Arcano,Rive d'Arcano
Rive d'Arcano – MappaPosizione del comune di Rive d'Arcano nella ex provincia di Udine,Rive d'Arcano – MappaPosizione del comune di Rive d'Arcano nella ex provincia di Udine
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
