Palazzolo dello Stella comune,Palazzolo dello Stella comune.1
(IT) Palazzolo dello Stella (FUR) Palaçûl[1],(IT) Palazzolo dello Stella (FUR) Palaçûl[1]
,
Palazzolo dello Stella – Veduta,Palazzolo dello Stella – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Udine
Amministrazione,Amministrazione
Sindaco,Franco D'Altilia (centro-destra) dal 6-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,45°48′N 13°05′E
Altitudine,5 m s.l.m.
Superficie,"34,55 km²"
Abitanti,2 892[2] (30-11-2025)
Densità,"83,7 ab./km²"
Frazioni,"Modeano, Piancada, La Fraida"
Comuni confinanti,"Latisana, Marano Lagunare, Muzzana del Turgnano, Pocenia, Precenicco, Rivignano Teor, Ronchis"
Altre informazioni,Altre informazioni
Lingue,"italiano, friulano"
Cod. postale,33056
Prefisso,0431
Fuso orario,UTC+1
Codice ISTAT,030069
Cod. catastale,G268
Targa,UD
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 399 GG[4]"
Nome abitanti,palazzolesi
Patrono,"santo Stefano, sant'Antonio di Padova"
Giorno festivo,26 dicembre
Cartografia,Cartografia
Palazzolo dello Stella,Palazzolo dello Stella
Palazzolo dello Stella – MappaPosizione del comune di Palazzolo dello Stella nella ex provincia di Udine,Palazzolo dello Stella – MappaPosizione del comune di Palazzolo dello Stella nella ex provincia di Udine
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
