Villa Santina comune,Villa Santina comune.1
(IT) Villa Santina (FUR) Vile di Cjargne[1],(IT) Villa Santina (FUR) Vile di Cjargne[1]
,
Villa Santina – VedutaInvillino e Villa Santina dal Col Santino,Villa Santina – VedutaInvillino e Villa Santina dal Col Santino
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Udine
Amministrazione,Amministrazione
Sindaco,Domenico Giatti (lista civica) dal 2019
Territorio,Territorio
Coordinate,46°24′50.75″N 12°55′14.69″E
Altitudine,363 m s.l.m.
Superficie,"12,99 km²"
Abitanti,2 150[2] (30-11-2025)
Densità,"165,51 ab./km²"
Frazioni,Invillino
Comuni confinanti,"Enemonzo, Lauco, Raveo, Tolmezzo, Verzegnis"
Altre informazioni,Altre informazioni
Lingue,"italiano, friulano"
Cod. postale,33029
Prefisso,0433
Fuso orario,UTC+1
Codice ISTAT,030133
Cod. catastale,L909
Targa,UD
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona F, 3 109 GG[4]"
Nome abitanti,villots o villosi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Villa Santina,Villa Santina
Villa Santina – MappaPosizione del comune di Villa Santina nella ex provincia di Udine,Villa Santina – MappaPosizione del comune di Villa Santina nella ex provincia di Udine
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
