Aiello del Friuli comune,Aiello del Friuli comune.1
(IT) Aiello del Friuli (FUR) Dael[1],(IT) Aiello del Friuli (FUR) Dael[1]
,
Aiello del Friuli – VedutaLa chiesetta della Madonna di Colloredo,Aiello del Friuli – VedutaLa chiesetta della Madonna di Colloredo
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Udine
Amministrazione,Amministrazione
Sindaco,Roberto Festa (centro-destra) dal 4-10-2021
Data di istituzione,5-1-1921
Territorio,Territorio
Coordinate,45°52′N 13°22′E
Altitudine,18 m s.l.m.
Superficie,"13,35 km²"
Abitanti,2 078[2] (30-11-2025)
Densità,"155,66 ab./km²"
Frazioni,"Joannis/Uanis, località: Novacco/Nauàc, Uttano/Utàn"
Comuni confinanti,"Bagnaria Arsa, Campolongo Tapogliano, Cervignano del Friuli, Ruda, San Vito al Torre, Visco"
Altre informazioni,Altre informazioni
Lingue,"italiano, friulano"
Cod. postale,33041
Prefisso,0431
Fuso orario,UTC+1
Codice ISTAT,030001
Cod. catastale,A103
Targa,UD
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 268 GG[4]"
Nome abitanti,aiellesi
Patrono,sant'Ulderico
Giorno festivo,4 luglio
Cartografia,Cartografia
Aiello del Friuli,Aiello del Friuli
Aiello del Friuli – MappaPosizione del comune di Aiello del Friuli nella ex provincia di Udine,Aiello del Friuli – MappaPosizione del comune di Aiello del Friuli nella ex provincia di Udine
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
