Buja comune,Buja comune.1
(IT) Buia (FUR) Buie[1],(IT) Buia (FUR) Buie[1]
,
Buja – VedutaMonte di Buja - L'antica pieve arcipretale di San Lorenzo,Buja – VedutaMonte di Buja - L'antica pieve arcipretale di San Lorenzo
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Udine
Amministrazione,Amministrazione
Sindaco,Silvia Maria Pezzetta (Centro-destra) dal 13-06-2022
Territorio,Territorio
Coordinate,46°12′43.99″N 13°07′00.88″E
Altitudine,215 m s.l.m.
Superficie,"25,51 km²"
Abitanti,6 338[2] (30-11-2025)
Densità,"248,45 ab./km²"
Frazioni,vedi elenco
Comuni confinanti,"Artegna, Colloredo di Monte Albano, Gemona del Friuli, Majano, Osoppo, Treppo Grande"
Altre informazioni,Altre informazioni
Lingue,"italiano, friulano"
Cod. postale,33030
Prefisso,0432
Fuso orario,UTC+1
Codice ISTAT,030013
Cod. catastale,B259
Targa,UD
Cl. sismica,zona 1 (sismicità alta)[3]
Nome abitanti,buiesi
Patrono,santi Ermacora e Fortunato
Giorno festivo,12 luglio
Cartografia,Cartografia
Buja,Buja
Buja – MappaPosizione del comune di Buja nella ex provincia di Udine,Buja – MappaPosizione del comune di Buja nella ex provincia di Udine
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
