Mereto di Tomba comune,Mereto di Tomba comune.1
(IT) Mereto di Tomba (FUR) Merêt di Tombe[1],(IT) Mereto di Tomba (FUR) Merêt di Tombe[1]
,
Mereto di Tomba – Veduta,Mereto di Tomba – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Udine
Amministrazione,Amministrazione
Sindaco,Sandro Burlone (centro-destra) dal 10-6-2024
Territorio,Territorio
Coordinate,46°03′N 13°02′E
Altitudine,98 m s.l.m.
Superficie,"27,30 km²"
Abitanti,2 501[2] (30-11-2025)
Densità,"91,61 ab./km²"
Frazioni,"Pantianicco, Plasencis, San Marco, Tomba Località: Castelliere, Savalons[3]"
Comuni confinanti,"Basiliano, Codroipo, Pasian di Prato, Coseano, Fagagna, San Vito di Fagagna, Sedegliano"
Altre informazioni,Altre informazioni
Lingue,"italiano, friulano"
Cod. postale,33036
Prefisso,0432
Fuso orario,UTC+1
Codice ISTAT,030058
Cod. catastale,F144
Targa,UD
Cl. sismica,zona 2 (sismicità media)[4]
Cl. climatica,"zona E, 2 292 GG[5]"
Nome abitanti,meretani
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Mereto di Tomba,Mereto di Tomba
Mereto di Tomba – MappaPosizione del comune di Mereto di Tomba nella ex provincia di Udine,Mereto di Tomba – MappaPosizione del comune di Mereto di Tomba nella ex provincia di Udine
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
