Ruda comune,Ruda comune.1
(IT) Ruda (FUR) Rude [1],(IT) Ruda (FUR) Rude [1]
,
Ruda – VedutaPanorama,Ruda – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Udine
Amministrazione,Amministrazione
Sindaco,Franco Lenarduzzi (centro-sinistra[2]) dal 6-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,45°50′N 13°24′E
Altitudine,12 m s.l.m.
Superficie,"19,47 km²"
Abitanti,2 802[3] (30-11-2025)
Densità,"143,91 ab./km²"
Frazioni,"Alture, Cortona, La Fredda, Mortesins, Perteole, Saciletto, San Nicolò[4]"
Comuni confinanti,"Aiello del Friuli, Campolongo Tapogliano, Cervignano del Friuli, Fiumicello Villa Vicentina, San Pier d'Isonzo (GO), Turriaco (GO), Villesse (GO)"
Altre informazioni,Altre informazioni
Lingue,"italiano, friulano"
Cod. postale,33050
Prefisso,0431
Fuso orario,UTC+1
Codice ISTAT,030098
Cod. catastale,H629
Targa,UD
Cl. sismica,zona 3 (sismicità bassa)[5]
Cl. climatica,"zona E, 2 257 GG[6]"
Nome abitanti,"rudesi (nella zona conosciuti come ""cros"" cioè rane)"
Patrono,santo Stefano
Giorno festivo,26 dicembre
Cartografia,Cartografia
Ruda,Ruda
Ruda – MappaPosizione del comune di Ruda all'interno della ex provincia di Udine,Ruda – MappaPosizione del comune di Ruda all'interno della ex provincia di Udine
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
