Pasian di Prato comune,Pasian di Prato comune.1
(IT) Pasian di Prato (FUR) Pasian di Prât[1],(IT) Pasian di Prato (FUR) Pasian di Prât[1]
,
Pasian di Prato – Veduta,Pasian di Prato – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Udine
Amministrazione,Amministrazione
Sindaco,Juli Peressini (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,46°03′N 13°12′E
Altitudine,95 m s.l.m.
Superficie,"15,41 km²"
Abitanti,9 285[2] (30-11-2025)
Densità,"602,53 ab./km²"
Frazioni,"Bonavilla, Colloredo di Prato, Passons, Santa Caterina[3]"
Comuni confinanti,"Basiliano, Campoformido, Martignacco, Tavagnacco, Udine"
Altre informazioni,Altre informazioni
Lingue,"italiano, friulano"
Cod. postale,33037
Prefisso,0432
Fuso orario,UTC+1
Codice ISTAT,030072
Cod. catastale,G352
Targa,UD
Cl. sismica,zona 2 (sismicità media)[4]
Cl. climatica,"zona E, 2 333 GG[5]"
Nome abitanti,pasianesi
Patrono,san Giacomo
Giorno festivo,25 luglio
Cartografia,Cartografia
Pasian di Prato,Pasian di Prato
Pasian di Prato – MappaPosizione del comune di Pasian di Prato nella ex provincia di Udine,Pasian di Prato – MappaPosizione del comune di Pasian di Prato nella ex provincia di Udine
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
