Forgaria nel Friuli comune,Forgaria nel Friuli comune.1
(IT) Forgaria nel Friuli (FUR) Forgjarie[1],(IT) Forgaria nel Friuli (FUR) Forgjarie[1]
,
Forgaria nel Friuli – VedutaPanorama dal monte di Ragogna,Forgaria nel Friuli – VedutaPanorama dal monte di Ragogna
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Udine
Amministrazione,Amministrazione
Sindaco,Pierluigi Molinaro (lista civica Per il bene comune) dal 3-4-2023
Territorio,Territorio
Coordinate,46°13′N 12°58′E
Altitudine,270 m s.l.m.
Superficie,"28,94 km²"
Abitanti,1 667[2] (30-11-2025)
Densità,"57,6 ab./km²"
Frazioni,"Cornino, Flagogna, San Rocco Località: Monte Prat[3]"
Comuni confinanti,"Majano, Osoppo, Pinzano al Tagliamento (PN), Ragogna, San Daniele del Friuli, Trasaghis, Vito d'Asio (PN)"
Altre informazioni,Altre informazioni
Lingue,"italiano, friulano"
Cod. postale,33030
Prefisso,0427
Fuso orario,UTC+1
Codice ISTAT,030137
Cod. catastale,D700
Targa,UD
Cl. sismica,zona 1 (sismicità alta)[4]
Cl. climatica,"zona E, 2 613 GG[5]"
Nome abitanti,forgaresi
Patrono,"san Lorenzo a Forgaria, santa Maria Maddalena a Flagogna, santa Giuliana a Cornino e san Rocco a San Rocco"
Giorno festivo,"10 agosto, 22 luglio e 16 agosto"
Cartografia,Cartografia
Forgaria nel Friuli,Forgaria nel Friuli
Forgaria nel Friuli – MappaPosizione del comune di Forgaria nel Friuli nella ex provincia di Udine,Forgaria nel Friuli – MappaPosizione del comune di Forgaria nel Friuli nella ex provincia di Udine
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
