San Leonardo comune,San Leonardo comune.1
(IT) San Leonardo (SL) Svet Lienart[1],(IT) San Leonardo (SL) Svet Lienart[1]
,
San Leonardo – VedutaPonte sul Cosizza tra le frazioni di Merso di Sopra e Scrutto,San Leonardo – VedutaPonte sul Cosizza tra le frazioni di Merso di Sopra e Scrutto
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Udine
Amministrazione,Amministrazione
Sindaco,Antonio Comugnaro (lista civica) dal 25-5-2014[2]
Territorio,Territorio
Coordinate,46°07′07″N 13°31′53″E
Altitudine,168 m s.l.m.
Superficie,"26,91 km²"
Abitanti,1 024[3] (30-11-2025)
Densità,"38,05 ab./km²"
Frazioni,vedi elenco
Comuni confinanti,"Grimacco, Prepotto, San Pietro al Natisone, Savogna, Stregna"
Altre informazioni,Altre informazioni
Lingue,"italiano, sloveno"
Cod. postale,33040
Prefisso,0432
Fuso orario,UTC+1
Codice ISTAT,030102
Cod. catastale,H951
Targa,UD
Cl. sismica,zona 2 (sismicità media)[4]
Cl. climatica,"zona E, 2 691 GG[5]"
Nome abitanti,(IT) sanleonardesi (SL) šentlenartčani
Patrono,san Leonardo di Noblac
Giorno festivo,6 novembre
Cartografia,Cartografia
San Leonardo,San Leonardo
San Leonardo – MappaPosizione del comune di San Leonardo nella ex provincia di Udine,San Leonardo – MappaPosizione del comune di San Leonardo nella ex provincia di Udine
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
