Castions di Strada comune,Castions di Strada comune.1
(IT) Castions di Strada (FUR) Cjasteons di Strade[1],(IT) Castions di Strada (FUR) Cjasteons di Strade[1]
,
Castions di Strada – VedutaFacciata della Chiesa di San Giuseppe,Castions di Strada – VedutaFacciata della Chiesa di San Giuseppe
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Udine
Amministrazione,Amministrazione
Sindaco,Ivan Petrucco (lista civica Uniti per crescere) dal 27-5-2019
Territorio,Territorio
Coordinate,45°54′N 13°11′E
Altitudine,23 m s.l.m.
Superficie,"32,84 km²"
Abitanti,3 686[2] (30-11-2025)
Densità,"112,24 ab./km²"
Frazioni,Morsano di Strada
Comuni confinanti,"Bicinicco, Carlino, Gonars, Mortegliano, Muzzana del Turgnano, Pocenia, Porpetto, San Giorgio di Nogaro, Talmassons"
Altre informazioni,Altre informazioni
Lingue,"italiano, friulano"
Cod. postale,33050
Prefisso,0432
Fuso orario,UTC+1
Codice ISTAT,030020
Cod. catastale,C327
Targa,UD
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 203 GG[4]"
Nome abitanti,castionesi
Patrono,san Giuseppe
Giorno festivo,19 marzo
Cartografia,Cartografia
Castions di Strada,Castions di Strada
Castions di Strada – MappaPosizione del comune di Castions di Strada nella ex provincia di Udine,Castions di Strada – MappaPosizione del comune di Castions di Strada nella ex provincia di Udine
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
