Terzo di Aquileia comune,Terzo di Aquileia comune.1
(IT) Terzo di Aquileia (FUR) Tierç di Aquilee[1],(IT) Terzo di Aquileia (FUR) Tierç di Aquilee[1]
,
Terzo di Aquileia – VedutaColonna romana,Terzo di Aquileia – VedutaColonna romana
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Udine
Amministrazione,Amministrazione
Sindaco,Giosualdo Quaini (centro-sinistra) dal 27-5-2019
Territorio,Territorio
Coordinate,45°48′N 13°20′E
Altitudine,5 m s.l.m.
Superficie,"28,36 km²"
Abitanti,2 704[2] (30-11-2025)
Densità,"95,35 ab./km²"
Frazioni,"Malborghetto (parte), Muruzzis, Paludo, Ponte Rosso, Ronchi, San Martino[3]"
Comuni confinanti,"Aquileia, Cervignano del Friuli, Fiumicello Villa Vicentina, Grado (GO), Torviscosa"
Altre informazioni,Altre informazioni
Lingue,"italiano, friulano"
Cod. postale,33050
Prefisso,0431
Fuso orario,UTC+1
Codice ISTAT,030120
Cod. catastale,L144
Targa,UD
Cl. sismica,zona 3 (sismicità bassa)[4]
Cl. climatica,"zona E, 2 244 GG[5]"
Nome abitanti,terzesi
Patrono,san Biagio
Giorno festivo,3 febbraio
Cartografia,Cartografia
Terzo di Aquileia,Terzo di Aquileia
Terzo di Aquileia – MappaPosizione del comune di Terzo di Aquileia nella ex provincia di Udine,Terzo di Aquileia – MappaPosizione del comune di Terzo di Aquileia nella ex provincia di Udine
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
