Magnano in Riviera comune,Magnano in Riviera comune.1
(IT) Magnano in Riviera (FUR) Magnan[1],(IT) Magnano in Riviera (FUR) Magnan[1]
,
Magnano in Riviera – VedutaBueriis,Magnano in Riviera – VedutaBueriis
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Udine
Amministrazione,Amministrazione
Sindaco,Carlo Michelizza (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,46°14′N 13°10′E
Altitudine,201 m s.l.m.
Superficie,"8,34 km²"
Abitanti,2 226[2] (30-11-2025)
Densità,"266,91 ab./km²"
Frazioni,"Billerio, Bueriis[3]"
Comuni confinanti,"Artegna, Cassacco, Montenars, Tarcento, Treppo Grande"
Altre informazioni,Altre informazioni
Lingue,"italiano, friulano"
Cod. postale,33010
Prefisso,0432
Fuso orario,UTC+1
Codice ISTAT,030052
Cod. catastale,E820
Targa,UD
Cl. sismica,zona 1 (sismicità alta)[4]
Cl. climatica,"zona E, 2 359 GG[5]"
Nome abitanti,magnanesi
Patrono,Santissima Trinità e Beata Vergine del Rosario
Giorno festivo,seconda domenica di ottobre
Cartografia,Cartografia
Magnano in Riviera,Magnano in Riviera
Magnano in Riviera – MappaPosizione del comune di Magnano in Riviera nella ex provincia di Udine,Magnano in Riviera – MappaPosizione del comune di Magnano in Riviera nella ex provincia di Udine
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
