Forni Avoltri comune,Forni Avoltri comune.1
(IT) Forni Avoltri (FUR) For Davôtri [1],(IT) Forni Avoltri (FUR) For Davôtri [1]
,
Forni Avoltri – VedutaPanorama dall'alto di Forni Avoltri,Forni Avoltri – VedutaPanorama dall'alto di Forni Avoltri
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Udine
Amministrazione,Amministrazione
Sindaco,Fulvio Sluga (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,46°35′12.59″N 12°46′36.87″E
Altitudine,888 m s.l.m.
Superficie,"80,75 km²"
Abitanti,495[2] (30-11-2025)
Densità,"6,13 ab./km²"
Frazioni,"Collina, Collinetta, Frassenetto, Sigilletto"
Comuni confinanti,"Lesachtal (AT-2), Paluzza, Prato Carnico, Rigolato, Santo Stefano di Cadore (BL), Sappada"
Altre informazioni,Altre informazioni
Lingue,"italiano, friulano"
Cod. postale,33020
Prefisso,0433
Fuso orario,UTC+1
Codice ISTAT,030040
Cod. catastale,D718
Targa,UD
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 4 110 GG[4]"
Nome abitanti,fornetti e avoltrini
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Forni Avoltri,Forni Avoltri
Forni Avoltri – MappaPosizione del comune di Forni Avoltri nella ex provincia di Udine,Forni Avoltri – MappaPosizione del comune di Forni Avoltri nella ex provincia di Udine
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
