Trivignano Udinese comune,Trivignano Udinese comune.1
(IT) Trivignano Udinese (FUR) Trivignan[1],(IT) Trivignano Udinese (FUR) Trivignan[1]
,
Trivignano Udinese – Veduta,Trivignano Udinese – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Udine
Amministrazione,Amministrazione
Sindaco,Roberto Tuniz (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,45°57′N 13°20′E
Altitudine,43 m s.l.m.
Superficie,"18,46 km²"
Abitanti,1 513[2] (30-11-2025)
Densità,"81,96 ab./km²"
Frazioni,"Clauiano, Melarolo, Merlana Località: Casali Mantica, Casali Fornaciata, Dogana Vecchia, Località Casali Comugne-Marcotti, Località San Marco, Località San Michele[3]"
Comuni confinanti,"Chiopris-Viscone, Manzano, Palmanova, Pavia di Udine, San Giovanni al Natisone, San Vito al Torre, Santa Maria la Longa"
Altre informazioni,Altre informazioni
Lingue,"italiano, friulano"
Cod. postale,33050
Prefisso,0432
Fuso orario,UTC+1
Codice ISTAT,030128
Cod. catastale,L438
Targa,UD
Cl. sismica,zona 3 (sismicità bassa)[4]
Cl. climatica,"zona E, 2 467 GG[5]"
Nome abitanti,trivignanesi
Patrono,san Teodoro[non chiaro]
Giorno festivo,9 novembre
Cartografia,Cartografia
Trivignano Udinese,Trivignano Udinese
Trivignano Udinese – MappaPosizione del comune di Trivignano Udinese nella ex provincia di Udine,Trivignano Udinese – MappaPosizione del comune di Trivignano Udinese nella ex provincia di Udine
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
