Bagnaria Arsa comune,Bagnaria Arsa comune.1
(IT) Bagnaria Arsa (FUR) Bagnarie[1],(IT) Bagnaria Arsa (FUR) Bagnarie[1]
,
Bagnaria Arsa – VedutaLa chiesa di San Giorgio Martire,Bagnaria Arsa – VedutaLa chiesa di San Giorgio Martire
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Udine
Amministrazione,Amministrazione
Sindaco,Elisa Pizzamiglio (centro-sinistra) dal 4-10-2021
Territorio,Territorio
Coordinate,45°53′N 13°17′E
Altitudine,20 m s.l.m.
Superficie,"19,23 km²"
Abitanti,3 416[2] (30-11-2025)
Densità,"177,64 ab./km²"
Frazioni,"Bagnaria, Campolonghetto, Castions delle Mura, Privano, Sevegliano[3]"
Comuni confinanti,"Aiello del Friuli, Cervignano del Friuli, Gonars, Palmanova, Torviscosa, Visco"
Altre informazioni,Altre informazioni
Lingue,"italiano, friulano"
Cod. postale,33050
Prefisso,0432
Fuso orario,UTC+1
Codice ISTAT,030008
Cod. catastale,A553
Targa,UD
Cl. sismica,zona 3 (sismicità bassa)[4]
Cl. climatica,"zona E, 2 222 GG[5]"
Nome abitanti,bagnaresi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Bagnaria Arsa,Bagnaria Arsa
Bagnaria Arsa – MappaPosizione del comune di Bagnaria Arsa nella ex provincia di Udine,Bagnaria Arsa – MappaPosizione del comune di Bagnaria Arsa nella ex provincia di Udine
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
