Caprarica di Lecce comune,Caprarica di Lecce comune.1
,
Caprarica di Lecce – VedutaPiazza Vittoria,Caprarica di Lecce – VedutaPiazza Vittoria
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Paolo Greco (lista civica Caprarica viva) dal 6-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,40°16′N 18°15′E
Altitudine,60 m s.l.m.
Superficie,"10,71 km²"
Abitanti,2 253[1] (30-11-2025)
Densità,"210,36 ab./km²"
Comuni confinanti,"Calimera, Castri di Lecce, Cavallino, Lizzanello, Martignano, San Donato di Lecce, Sternatia"
Altre informazioni,Altre informazioni
Cod. postale,73010
Prefisso,0832
Fuso orario,UTC+1
Codice ISTAT,075013
Cod. catastale,B690
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 178 GG[3]"
Nome abitanti,capraresi
Patrono,san Nicola e sant'Oronzo
Giorno festivo,ultimi sabato e domenica di giugno
Cartografia,Cartografia
Caprarica di Lecce,Caprarica di Lecce
Caprarica di Lecce – MappaPosizione del comune di Caprarica di Lecce all'interno della provincia di Lecce,Caprarica di Lecce – MappaPosizione del comune di Caprarica di Lecce all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
