Nociglia comune,Nociglia comune.1
,
Nociglia – Veduta,Nociglia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Vincenzo Vadrucci (lista civica Cambiamo insieme) dal 4-10-2021
Territorio,Territorio
Coordinate,40°02′N 18°20′E
Altitudine,104 m s.l.m.
Superficie,"11,13 km²"
Abitanti,2 097[1] (30-11-2025)
Densità,"188,41 ab./km²"
Comuni confinanti,"Montesano Salentino, Poggiardo, San Cassiano, Supersano, Surano"
Altre informazioni,Altre informazioni
Cod. postale,73020
Prefisso,0836
Fuso orario,UTC+1
Codice ISTAT,075054
Cod. catastale,F916
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 276 GG[3]"
Nome abitanti,nocigliesi
Patrono,sant'Antonio da Padova
Giorno festivo,13 giugno
Cartografia,Cartografia
Nociglia,Nociglia
Nociglia – MappaPosizione del comune di Nociglia all'interno della provincia di Lecce,Nociglia – MappaPosizione del comune di Nociglia all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
