Cannole comune,Cannole comune.1
,
Cannole – VedutaMasseria Torcito,Cannole – VedutaMasseria Torcito
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Leandro Rubichi (lista civica Cannole Insieme Continuiamo) dal 6-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,40°09′58″N 18°21′55″E
Altitudine,100 m s.l.m.
Superficie,"20,35 km²"
Abitanti,1 566[1] (30-11-2025)
Densità,"76,95 ab./km²"
Comuni confinanti,"Bagnolo del Salento, Carpignano Salentino, Castrignano de' Greci, Otranto, Palmariggi"
Altre informazioni,Altre informazioni
Cod. postale,73020
Prefisso,0836
Fuso orario,UTC+1
Codice ISTAT,075012
Cod. catastale,B616
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 231 GG[3]"
Nome abitanti,cannolesi
Patrono,san Vincenzo Ferreri
Giorno festivo,5 aprile
Cartografia,Cartografia
Cannole,Cannole
Cannole – MappaPosizione del comune di Cannole all'interno della provincia di Lecce,Cannole – MappaPosizione del comune di Cannole all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
