Sternatia comune,Sternatia comune.1
,
Sternatia – VedutaComplesso dei Domenicani,Sternatia – VedutaComplesso dei Domenicani
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Gabriele Candito (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,40°13′N 18°14′E
Altitudine,75 m s.l.m.
Superficie,"16,76 km²"
Abitanti,2 077[1] (30-11-2025)
Densità,"123,93 ab./km²"
Comuni confinanti,"Caprarica di Lecce, Martignano, San Donato di Lecce, Soleto, Zollino"
Altre informazioni,Altre informazioni
Cod. postale,73010
Prefisso,0836
Fuso orario,UTC+1
Codice ISTAT,075080
Cod. catastale,I950
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 197 GG[3]"
Nome abitanti,Sternatesi
Patrono,san Giorgio Martire
Giorno festivo,22 agosto
Cartografia,Cartografia
Sternatia,Sternatia
Sternatia – MappaPosizione del comune di Sternatia nella provincia di Lecce,Sternatia – MappaPosizione del comune di Sternatia nella provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
