Salve comune,Salve comune.1
,
Salve – Veduta,Salve – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Francesco Villanova (lista civica Con noi per Salve) dal 10-6-2018 (2º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,39°51′32.19″N 18°15′23.48″E
Altitudine,130 m s.l.m.
Superficie,"33,07 km²"
Abitanti,4 577[1] (30-11-2025)
Densità,"138,4 ab./km²"
Frazioni,"una parte di Lido Marini, Pescoluse, Posto Vecchio, Ruggiano, Torre Pali"
Comuni confinanti,"Alessano, Morciano di Leuca, Presicce-Acquarica, Ugento"
Altre informazioni,Altre informazioni
Cod. postale,73050
Prefisso,0833
Fuso orario,UTC+1
Codice ISTAT,075066
Cod. catastale,H729
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 224 GG[3]"
Nome abitanti,salvesi
Patrono,san Nicola Magno
Giorno festivo,6 dicembre
Cartografia,Cartografia
Salve,Salve
Salve – MappaPosizione del comune di Salve all'interno della provincia di Lecce,Salve – MappaPosizione del comune di Salve all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
