Gagliano del Capo comune,Gagliano del Capo comune.1
,
Gagliano del Capo – VedutaIl Ciolo,Gagliano del Capo – VedutaIl Ciolo
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Gianfranco Melcarne (lista civica) dal 21-9-2020
Territorio,Territorio
Coordinate,39°51′N 18°22′E
Altitudine,144 m s.l.m.
Superficie,"16,6 km²"
Abitanti,4 781[1] (30-11-2025)
Densità,"288,01 ab./km²"
Frazioni,"Arigliano, San Dana"
Comuni confinanti,"Alessano, Castrignano del Capo"
Altre informazioni,Altre informazioni
Cod. postale,73034
Prefisso,0833
Fuso orario,UTC+1
Codice ISTAT,075028
Cod. catastale,D851
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,gaglianesi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Gagliano del Capo,Gagliano del Capo
Gagliano del Capo – MappaPosizione del comune di Gagliano del Capo all'interno della provincia di Lecce,Gagliano del Capo – MappaPosizione del comune di Gagliano del Capo all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
