San Cassiano comune,San Cassiano comune.1
,
San Cassiano – VedutaPalazzo Ducale,San Cassiano – VedutaPalazzo Ducale
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Oronzo Lazzari (lista civica - Insieme per San Cassiano) dal 12-6-2022
Territorio,Territorio
Coordinate,40°03′22.72″N 18°20′02.11″E
Altitudine,89 m s.l.m.
Superficie,"8,77 km²"
Abitanti,1 937[1] (30-11-2025)
Densità,"220,87 ab./km²"
Comuni confinanti,"Botrugno, Nociglia, Poggiardo, Sanarica, Supersano"
Altre informazioni,Altre informazioni
Cod. postale,73020
Prefisso,0836
Fuso orario,UTC+1
Codice ISTAT,075095
Cod. catastale,M264
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 204 GG[3]"
Nome abitanti,sancassianesi
Patrono,San Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
San Cassiano,San Cassiano
San Cassiano – MappaPosizione del comune di San Cassiano all'interno della provincia di Lecce,San Cassiano – MappaPosizione del comune di San Cassiano all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
