Poggiardo comune,Poggiardo comune.1
,
Poggiardo – Veduta,Poggiardo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Antonio Ciriolo (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,40°03′N 18°23′E
Altitudine,87 m s.l.m.
Superficie,"19,96 km²"
Abitanti,5 725[1] (30-11-2025)
Densità,"286,82 ab./km²"
Frazioni,Vaste
Comuni confinanti,"Giuggianello, Minervino di Lecce, Nociglia, Ortelle, San Cassiano, Sanarica, Santa Cesarea Terme, Spongano, Surano"
Altre informazioni,Altre informazioni
Cod. postale,73037
Prefisso,0836
Fuso orario,UTC+1
Codice ISTAT,075061
Cod. catastale,G751
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 229 GG[3]"
Nome abitanti,poggiardesi
Patrono,sant'Antonio di Padova
Giorno festivo,13 giugno
Cartografia,Cartografia
Poggiardo,Poggiardo
Poggiardo – MappaPosizione del comune di Poggiardo all'interno della provincia di Lecce,Poggiardo – MappaPosizione del comune di Poggiardo all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
