Giuggianello comune,Giuggianello comune.1
,
Giuggianello – VedutaPiazza degli Eroi,Giuggianello – VedutaPiazza degli Eroi
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,"Luca Benegiamo (lista civica ""Senso civico più"") dal 26-05-2019 (2º mandato dal 10-6-2024)"
Territorio,Territorio
Coordinate,40°06′N 18°22′E
Altitudine,79 m s.l.m.
Superficie,"10,27 km²"
Abitanti,1 117[1] (30-11-2025)
Densità,"108,76 ab./km²"
Comuni confinanti,"Giurdignano, Minervino di Lecce, Muro Leccese, Palmariggi, Poggiardo, Sanarica"
Altre informazioni,Altre informazioni
Cod. postale,73030
Prefisso,0836
Fuso orario,UTC+1
Codice ISTAT,075032
Cod. catastale,E053
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 225 GG[3]"
Nome abitanti,giuggianellesi
Patrono,san Cristoforo
Giorno festivo,25 luglio
Cartografia,Cartografia
Giuggianello,Giuggianello
Giuggianello – MappaPosizione del comune di Giuggianello nella provincia di Lecce,Giuggianello – MappaPosizione del comune di Giuggianello nella provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
