Santa Cesarea Terme comune,Santa Cesarea Terme comune.1
,
Santa Cesarea Terme – Veduta,Santa Cesarea Terme – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Pasquale Bleve (lista civica) dal 27-5-2013 (3º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,40°02′10.76″N 18°27′24.6″E
Altitudine,25 m s.l.m.
Superficie,"26,82 km²"
Abitanti,2 762[1] (30-11-2025)
Densità,"102,98 ab./km²"
Frazioni,"Cerfignano, Porto Miggiano, Vitigliano"
Comuni confinanti,"Castro, Minervino di Lecce, Ortelle, Otranto, Poggiardo, Uggiano la Chiesa"
Altre informazioni,Altre informazioni
Cod. postale,73020
Prefisso,0836
Fuso orario,UTC+1
Codice ISTAT,075072
Cod. catastale,I172
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 178 GG[3]"
Nome abitanti,cesarini
Patrono,santa Cesaria Vergine
Giorno festivo,12 settembre
Cartografia,Cartografia
Santa Cesarea Terme,Santa Cesarea Terme
Santa Cesarea Terme – MappaPosizione del comune di Santa Cesarea Terme all'interno della provincia di Lecce,Santa Cesarea Terme – MappaPosizione del comune di Santa Cesarea Terme all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
