Melendugno comune,Melendugno comune.1
,
Melendugno – VedutaChiesa di Maria SS. Assunta,Melendugno – VedutaChiesa di Maria SS. Assunta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Maurizio Cisternino (lista civica Una città per tutti) dal 13-6-2022
Territorio,Territorio
Coordinate,40°16′N 18°20′E
Altitudine,36 m s.l.m.
Superficie,"92,31 km²"
Abitanti,10 084[1] (30-11-2025)
Densità,"109,24 ab./km²"
Frazioni,Borgagne
Comuni confinanti,"Calimera, Carpignano Salentino, Otranto, Vernole"
Altre informazioni,Altre informazioni
Cod. postale,73026
Prefisso,0832
Fuso orario,UTC+1
Codice ISTAT,075043
Cod. catastale,F101
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 147 GG[3]"
Nome abitanti,melendugnesi
Patrono,san Niceta il Goto
Giorno festivo,16 settembre
Cartografia,Cartografia
Melendugno,Melendugno
Melendugno – MappaPosizione del comune di Melendugno all'interno della provincia di Lecce,Melendugno – MappaPosizione del comune di Melendugno all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
