Squinzano comune,Squinzano comune.1
,
Squinzano – VedutaPiazza San Nicola,Squinzano – VedutaPiazza San Nicola
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Mario Pede (lista civica) dal 16-5-2023
Territorio,Territorio
Coordinate,40°26′N 18°03′E
Altitudine,48 m s.l.m.
Superficie,"29,78 km²"
Abitanti,13 247[1] (30-11-2025)
Densità,"444,83 ab./km²"
Frazioni,Casalabate Nord
Comuni confinanti,"Campi Salentina, Cellino San Marco (BR), Lecce, San Pietro Vernotico (BR), Torchiarolo (BR), Trepuzzi"
Altre informazioni,Altre informazioni
Cod. postale,73018
Prefisso,0832
Fuso orario,UTC+1
Codice ISTAT,075079
Cod. catastale,I930
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 105 GG[3]"
Nome abitanti,squinzanesi
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre
Cartografia,Cartografia
Squinzano,Squinzano
Squinzano – MappaPosizione del comune di Squinzano all'interno della provincia di Lecce,Squinzano – MappaPosizione del comune di Squinzano all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
