Racale comune,Racale comune.1
,
Racale – VedutaTorri alla porta d'ingresso,Racale – VedutaTorri alla porta d'ingresso
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Antonio Salsetti (lista civica Io amo Racale) dal 21-9-2020
Territorio,Territorio
Coordinate,39°58′N 18°06′E
Altitudine,55 m s.l.m.
Superficie,"24,29 km²"
Abitanti,10 677[1] (30-11-2025)
Densità,"439,56 ab./km²"
Frazioni,Torre Suda
Comuni confinanti,"Alliste, Melissano, Taviano, Ugento"
Altre informazioni,Altre informazioni
Cod. postale,73055
Prefisso,0833
Fuso orario,UTC+1
Codice ISTAT,075063
Cod. catastale,H147
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 095 GG[3]"
Nome abitanti,racalini
Patrono,San Sebastiano
Giorno festivo,20 gennaio e ultima domenica di maggio
Cartografia,Cartografia
Racale,Racale
Racale – MappaPosizione del comune di Racale all'interno della provincia di Lecce,Racale – MappaPosizione del comune di Racale all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
