Lequile comune,Lequile comune.1
,
Lequile – VedutaPiazza San Vito,Lequile – VedutaPiazza San Vito
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Vincenzo Carlà (lista civica La svolta) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,40°18′N 18°08′E
Altitudine,38 m s.l.m.
Superficie,"36,8 km²"
Abitanti,8 595[1] (30-11-2025)
Densità,"233,56 ab./km²"
Frazioni,"Dragoni, Paladini"
Comuni confinanti,"Copertino, Galatina, Lecce, Monteroni di Lecce, San Cesario di Lecce, San Donato di Lecce, San Pietro in Lama, Soleto"
Altre informazioni,Altre informazioni
Cod. postale,73010
Prefisso,0832
Fuso orario,UTC+1
Codice ISTAT,075036
Cod. catastale,E538
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 059 GG[3]"
Nome abitanti,lequilesi
Patrono,san Vito
Giorno festivo,quarta domenica di giugno
Cartografia,Cartografia
Lequile,Lequile
Lequile – MappaPosizione del comune di Lequile all'interno della provincia di Lecce,Lequile – MappaPosizione del comune di Lequile all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
