Sanarica comune,Sanarica comune.1
,
Sanarica – Veduta,Sanarica – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Salvatore Sales (lista civica) dal 6-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,40°05′N 18°21′E
Altitudine,78 m s.l.m.
Superficie,"13,02 km²"
Abitanti,1 478[1] (30-11-2025)
Densità,"113,52 ab./km²"
Comuni confinanti,"Botrugno, Giuggianello, Muro Leccese, Poggiardo, San Cassiano, Scorrano"
Altre informazioni,Altre informazioni
Cod. postale,73030
Prefisso,0836
Fuso orario,UTC+1
Codice ISTAT,075067
Cod. catastale,H757
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 224 GG[3]"
Nome abitanti,sanarichesi
Patrono,Madonna delle Grazie
Giorno festivo,8 settembre
Cartografia,Cartografia
Sanarica,Sanarica
Sanarica – MappaPosizione del comune di Sanarica all'interno della provincia di Lecce,Sanarica – MappaPosizione del comune di Sanarica all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
