Surbo comune,Surbo comune.1
,
Surbo – Veduta,Surbo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Oronzo Trio (lista civica) dal 15-5-2023
Territorio,Territorio
Coordinate,40°24′N 18°08′E
Altitudine,40 m s.l.m.
Superficie,"20,78 km²"
Abitanti,14 490[1] (30-11-2025)
Densità,"697,31 ab./km²"
Comuni confinanti,Lecce
Altre informazioni,Altre informazioni
Cod. postale,73010
Prefisso,0832
Fuso orario,UTC+1
Codice ISTAT,075083
Cod. catastale,L011
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 062 GG[3]"
Nome abitanti,surbini
Patrono,sant'Oronzo vescovo e martire[4]
Giorno festivo,2 ottobre
Cartografia,Cartografia
Surbo,Surbo
Surbo – MappaPosizione del comune di Surbo all'interno della provincia di Lecce,Surbo – MappaPosizione del comune di Surbo all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
