Supersano comune,Supersano comune.1
,
Supersano – Veduta,Supersano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Bruno Corrado (lista civica) dal 26-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,40°01′N 18°15′E
Altitudine,105 m s.l.m.
Superficie,"36,41 km²"
Abitanti,4 045[1] (30-11-2025)
Densità,"111,1 ab./km²"
Comuni confinanti,"Botrugno, Casarano, Collepasso, Cutrofiano, Montesano Salentino, Nociglia, Ruffano, San Cassiano, Scorrano"
Altre informazioni,Altre informazioni
Cod. postale,73040
Prefisso,0833
Fuso orario,UTC+1
Codice ISTAT,075081
Cod. catastale,L008
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 271 GG[3]"
Nome abitanti,supersanesi
Patrono,San Michele Arcangelo e Madonna di Coelimanna
Giorno festivo,8 maggio e prima domenica di luglio
Cartografia,Cartografia
Supersano,Supersano
Supersano – MappaPosizione del comune di Supersano all'interno della provincia di Lecce,Supersano – MappaPosizione del comune di Supersano all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
