Montesano Salentino comune,Montesano Salentino comune.1
,
Montesano Salentino – Veduta,Montesano Salentino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Giuseppe Maglie (lista civica Uniti per Montesano) dal 10-6-2018 (2º mandato dal 29-5-2023)
Territorio,Territorio
Coordinate,39°58′32.83″N 18°19′21.4″E
Altitudine,105 m s.l.m.
Superficie,"8,53 km²"
Abitanti,2 593[1] (30-11-2025)
Densità,"303,99 ab./km²"
Comuni confinanti,"Andrano, Miggiano, Nociglia, Ruffano, Supersano, Surano, Tricase"
Altre informazioni,Altre informazioni
Cod. postale,73030
Prefisso,0833
Fuso orario,UTC+1
Codice ISTAT,075049
Cod. catastale,F623
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 312 GG[3]"
Nome abitanti,montesanesi
Patrono,san Donato
Giorno festivo,7 agosto
Cartografia,Cartografia
Montesano Salentino,Montesano Salentino
Montesano Salentino – MappaPosizione del comune di Montesano Salentino all'interno della provincia di Lecce,Montesano Salentino – MappaPosizione del comune di Montesano Salentino all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
