Morciano di Leuca comune,Morciano di Leuca comune.1
,
Morciano di Leuca – Veduta,Morciano di Leuca – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Lorenzo Ricchiuti (lista civica Avanti uniti per Morciano 4.0) dal 26-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,39°51′N 18°19′E
Altitudine,130 m s.l.m.
Superficie,"13,57 km²"
Abitanti,3 038[1] (30-11-2025)
Densità,"223,88 ab./km²"
Frazioni,"Barbarano del Capo, Torre Vado"
Comuni confinanti,"Alessano, Castrignano del Capo, Patù, Salve"
Altre informazioni,Altre informazioni
Cod. postale,73040
Prefisso,0833
Fuso orario,UTC+1
Codice ISTAT,075050
Cod. catastale,F716
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 105 GG[3]"
Nome abitanti,morcianesi
Patrono,san Giovanni l'Elemosiniere
Giorno festivo,23 gennaio
Cartografia,Cartografia
Morciano di Leuca,Morciano di Leuca
Morciano di Leuca – MappaPosizione del comune di Morciano di Leuca all'interno della provincia di Lecce,Morciano di Leuca – MappaPosizione del comune di Morciano di Leuca all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
