Bagnolo del Salento comune,Bagnolo del Salento comune.1
,
Bagnolo del Salento – Veduta,Bagnolo del Salento – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Irene Chilla (lista civica Impegno per Bagnolo) dal 26-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,40°09′N 18°21′E
Altitudine,96 m s.l.m.
Superficie,"6,74 km²"
Abitanti,1 702[1] (30-11-2025)
Densità,"252,52 ab./km²"
Comuni confinanti,"Cannole, Castrignano de' Greci, Cursi, Maglie, Palmariggi"
Altre informazioni,Altre informazioni
Cod. postale,73020
Prefisso,0836
Fuso orario,UTC+1
Codice ISTAT,075008
Cod. catastale,A572
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 231 GG[3]"
Nome abitanti,bagnolesi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Bagnolo del Salento,Bagnolo del Salento
Bagnolo del Salento – MappaPosizione del comune di Bagnolo del Salento all'interno della provincia di Lecce,Bagnolo del Salento – MappaPosizione del comune di Bagnolo del Salento all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
