Campi Salentina comune,Campi Salentina comune.1
,
Campi Salentina – VedutaPiazza della Libertà,Campi Salentina – VedutaPiazza della Libertà
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Alfredo Fina (Lista civica Idea Campi) dal 26-5-2019
Territorio,Territorio
Coordinate,40°24′N 18°01′E
Altitudine,33 m s.l.m.
Superficie,"45,88 km²"
Abitanti,9 618[1] (30-11-2025)
Densità,"209,63 ab./km²"
Comuni confinanti,"Cellino San Marco (BR), Guagnano, Novoli, Salice Salentino, Squinzano, Trepuzzi, Veglie"
Altre informazioni,Altre informazioni
Cod. postale,73012
Prefisso,0832
Fuso orario,UTC+1
Codice ISTAT,075011
Cod. catastale,B506
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 119 GG[3]"
Nome abitanti,campioti[4] o campiensi
Patrono,Sant'Oronzo
Giorno festivo,1º settembre
Cartografia,Cartografia
Campi Salentina,Campi Salentina
Campi Salentina – MappaPosizione del comune di Campi Salentina all'interno della provincia di Lecce,Campi Salentina – MappaPosizione del comune di Campi Salentina all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
