Copertino comune,Copertino comune.1
,
Copertino – VedutaCastello,Copertino – VedutaCastello
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Vincenzo De Giorgi (FI) dal 24-6-2024
Territorio,Territorio
Coordinate,40°16′N 18°03′E
Altitudine,34 m s.l.m.
Superficie,"58,53 km²"
Abitanti,22 721[1] (30-11-2025)
Densità,"388,19 ab./km²"
Comuni confinanti,"Arnesano, Carmiano, Galatina, Lequile, Leverano, Monteroni di Lecce, Nardò, San Pietro in Lama"
Altre informazioni,Altre informazioni
Cod. postale,73043
Prefisso,0832
Fuso orario,UTC+1
Codice ISTAT,075022
Cod. catastale,C978
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 194 GG[3]"
Nome abitanti,copertinesi
Patrono,"san Giuseppe da Copertino, san Sebastiano"
Giorno festivo,"18 settembre, 20 gennaio"
Cartografia,Cartografia
Copertino,Copertino
Copertino – MappaPosizione del comune di Copertino nella provincia di Lecce,Copertino – MappaPosizione del comune di Copertino nella provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
