Casarano comune,Casarano comune.1
,
Casarano – VedutaVeduta aerea di Casarano dall'altura della Campana,Casarano – VedutaVeduta aerea di Casarano dall'altura della Campana
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Ottavio De Nuzzo (indipendente di centro-destra) dal 21-9-2020
Territorio,Territorio
Coordinate,40°01′N 18°10′E
Altitudine,107 m s.l.m.
Superficie,"38,73 km²"
Abitanti,18 951[1] (30-11-2025)
Densità,"489,31 ab./km²"
Comuni confinanti,"Collepasso, Matino, Melissano, Ruffano, Supersano, Ugento"
Altre informazioni,Altre informazioni
Cod. postale,73042
Prefisso,0833
Fuso orario,UTC+1
Codice ISTAT,075016
Cod. catastale,B936
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 113 GG[3]"
Nome abitanti,casaranesi
Patrono,san Giovanni Elemosiniere
Giorno festivo,3ª domenica di maggio
Motto,Estote prudentes sicut serpentes
Cartografia,Cartografia
Casarano,Casarano
Casarano – MappaPosizione del comune di Casarano all'interno della provincia di Lecce,Casarano – MappaPosizione del comune di Casarano all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
