Arnesano comune,Arnesano comune.1
,
Arnesano – Veduta,Arnesano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Emanuele Solazzo (lista civica Continuiamo per Arnesano) dal 31-5-2015 (2º mandato dal 20-9-2020)
Territorio,Territorio
Coordinate,40°20′21.96″N 18°04′22.49″E
Altitudine,33 m s.l.m.
Superficie,"13,56 km²"
Abitanti,3 904[1] (30-11-2025)
Densità,"287,91 ab./km²"
Frazioni,Rione Riesci
Comuni confinanti,"Carmiano, Copertino, Lecce, Leverano, Monteroni di Lecce, Novoli"
Altre informazioni,Altre informazioni
Cod. postale,73010
Prefisso,0832
Fuso orario,UTC+1
Codice ISTAT,075007
Cod. catastale,A425
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 052 GG[3]"
Nome abitanti,arnesanesi
Patrono,Maria SS. Assunta Santissimo Crocifisso
Giorno festivo,prima domenica di luglio
Cartografia,Cartografia
Arnesano,Arnesano
Arnesano – MappaPosizione del comune di Arnesano all'interno della provincia di Lecce,Arnesano – MappaPosizione del comune di Arnesano all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
