Martano comune,Martano comune.1
,
Martano – Veduta,Martano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Fabio Tarantino (lista civica Ancora Insieme) dal 1-6-2015 (2º mandato dal 21-9-2020)
Territorio,Territorio
Coordinate,40°12′N 18°18′E
Altitudine,91 m s.l.m.
Superficie,"22,25 km²"
Abitanti,8 394[1] (30-11-2025)
Densità,"377,26 ab./km²"
Comuni confinanti,"Calimera, Carpignano Salentino, Castrignano de' Greci, Corigliano d'Otranto, Martignano, Zollino"
Altre informazioni,Altre informazioni
Cod. postale,73025
Prefisso,0836
Fuso orario,UTC+1
Codice ISTAT,075040
Cod. catastale,E979
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 253 GG[3]"
Nome abitanti,martanesi o martanì (in grico)
Patrono,"San Domenico di Guzman (patrono), Maria S.S. Assunta (coprotettrice)"
Giorno festivo,8 e 15 agosto
Cartografia,Cartografia
Martano,Martano
Martano – MappaPosizione del comune di Martano all'interno della provincia di Lecce,Martano – MappaPosizione del comune di Martano all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
