Tuglie comune,Tuglie comune.1
,
Tuglie – Veduta,Tuglie – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Silvia Romano (Insieme per Tuglie) dal 11-06-2024
Territorio,Territorio
Coordinate,40°04′24.46″N 18°05′55.39″E
Altitudine,74 m s.l.m.
Superficie,"8,5 km²"
Abitanti,5 015[1] (30-11-2025)
Densità,590 ab./km²
Comuni confinanti,"Alezio, Neviano, Parabita, Sannicola"
Altre informazioni,Altre informazioni
Cod. postale,73058
Prefisso,0833
Fuso orario,UTC+1
Codice ISTAT,075089
Cod. catastale,L462
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 078 GG[3]"
Nome abitanti,tugliesi
Patrono,"Maria santissima Annunziata, san Giuseppe e sant'Antonio di Padova"
Giorno festivo,25 marzo
Cartografia,Cartografia
Tuglie,Tuglie
Tuglie – MappaPosizione del comune di Tuglie nella provincia di Lecce,Tuglie – MappaPosizione del comune di Tuglie nella provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
