Provincia di Lecce provincia,Provincia di Lecce provincia.1
,
"Provincia di Lecce – VedutaPalazzo dei Celestini, sede della Provincia.","Provincia di Lecce – VedutaPalazzo dei Celestini, sede della Provincia."
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Amministrazione,Amministrazione
Capoluogo,Lecce
Presidente,Fabio Tarantino (PD) dal 22-11-2025
Data di istituzione,1861
Territorio,Territorio
Coordinate del capoluogo,40°21′07.24″N 18°10′08.9″E
Superficie,"2 799,07 km²"
Abitanti,762 699[1] (30-9-2025)
Densità,"272,48 ab./km²"
Comuni,96 comuni
Province confinanti,"Brindisi, Taranto"
Altre informazioni,Altre informazioni
Cod. postale,"73100, 73010-73059"
Prefisso,"0832, 0833, 0836"
Fuso orario,UTC+1
ISO 3166-2,IT-LE
Codice ISTAT,075
Targa,LE
PIL,"(nominale) 14 272,45 mln €[2](2021)"
PIL procapite,(nominale) 18 407 €[2](2021)
Cartografia,Cartografia
Provincia di Lecce – Localizzazione,Provincia di Lecce – Localizzazione
Provincia di Lecce – MappaPosizione della provincia di Lecce in Puglia.,Provincia di Lecce – MappaPosizione della provincia di Lecce in Puglia.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
