Specchia comune,Specchia comune.1
,
Specchia – VedutaPiazza del Popolo,Specchia – VedutaPiazza del Popolo
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Anna Laura Remigi (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,39°56′17.16″N 18°17′54.24″E
Altitudine,131 m s.l.m.
Superficie,"25,1 km²"
Abitanti,4 461[1] (30-11-2025)
Densità,"177,73 ab./km²"
Comuni confinanti,"Alessano, Miggiano, Presicce-Acquarica, Ruffano, Tricase"
Altre informazioni,Altre informazioni
Cod. postale,73040
Prefisso,0833
Fuso orario,UTC+1
Codice ISTAT,075077
Cod. catastale,I887
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 367 GG[3]"
Nome abitanti,specchiesi
Patrono,san Nicola di Bari
Giorno festivo,seconda domenica di maggio
Cartografia,Cartografia
Specchia,Specchia
Specchia – MappaPosizione del comune di Specchia all'interno della provincia di Lecce,Specchia – MappaPosizione del comune di Specchia all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
