Matino comune,Matino comune.1
,
Matino – VedutaChiesa Matrice del Patrono San Giorgio,Matino – VedutaChiesa Matrice del Patrono San Giorgio
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Giorgio Salvatore Toma (Lista civica Amiamo Matino) dal 12-6-2022
Territorio,Territorio
Coordinate,40°02′N 18°08′E
Altitudine,75 m s.l.m.
Superficie,"26,63 km²"
Abitanti,10 770[1] (30-11-2025)
Densità,"404,43 ab./km²"
Comuni confinanti,"Alezio, Casarano, Collepasso, Gallipoli, Melissano, Parabita, Taviano"
Altre informazioni,Altre informazioni
Cod. postale,73046
Prefisso,0833
Fuso orario,UTC+1
Codice ISTAT,075042
Cod. catastale,F054
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 073 GG[3]"
Nome abitanti,matinesi
Patrono,san Giorgio Martire
Giorno festivo,23 aprile
Cartografia,Cartografia
Matino,Matino
Matino – MappaPosizione del comune di Matino all'interno della provincia di Lecce,Matino – MappaPosizione del comune di Matino all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
