Diso comune,Diso comune.1
,
Diso – VedutaPiazza Municipio,Diso – VedutaPiazza Municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Salvatore Coluccia (lista civica Per Diso Marittima) dal 4-10-2021
Territorio,Territorio
Coordinate,40°01′N 18°24′E
Altitudine,99 m s.l.m.
Superficie,"11,42 km²"
Abitanti,2 794[1] (30-11-2025)
Densità,"244,66 ab./km²"
Frazioni,"Marittima, Marina di Marittima"
Comuni confinanti,"Andrano, Castro, Ortelle, Spongano"
Altre informazioni,Altre informazioni
Cod. postale,73030
Prefisso,0836
Fuso orario,UTC+1
Codice ISTAT,075027
Cod. catastale,D305
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 246 GG[3]"
Nome abitanti,disini
Patrono,Santi Apostoli Filippo e Giacomo il Minore
Giorno festivo,1º maggio
Cartografia,Cartografia
Diso,Diso
Diso – MappaPosizione del comune di Diso all'interno della provincia di Lecce,Diso – MappaPosizione del comune di Diso all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
