Castri di Lecce comune,Castri di Lecce comune.1
,
Castri di Lecce – Veduta,Castri di Lecce – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Andrea De Pascali (lista civica Castri cresce) dal 25-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,40°16′N 18°16′E
Altitudine,47 m s.l.m.
Superficie,"12,95 km²"
Abitanti,2 694[1] (30-11-2025)
Densità,"208,03 ab./km²"
Comuni confinanti,"Calimera, Caprarica di Lecce, Lizzanello, Vernole"
Altre informazioni,Altre informazioni
Cod. postale,73020
Prefisso,0832
Fuso orario,UTC+1
Codice ISTAT,075017
Cod. catastale,C334
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 161 GG[3]"
Nome abitanti,castrisani
Patrono,san Vito
Giorno festivo,15 giugno
Cartografia,Cartografia
Castri di Lecce,Castri di Lecce
Castri di Lecce – MappaPosizione del comune di Castri di Lecce all'interno della provincia di Lecce,Castri di Lecce – MappaPosizione del comune di Castri di Lecce all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
