Parabita comune,Parabita comune.1
,
Parabita – VedutaFotografia del castello Angioino,Parabita – VedutaFotografia del castello Angioino
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Stefano Prete (lista civica Lista Agorà) dal 27-5-2019 (2º mandato dal 10-6-2024)
Data di istituzione,1806[1]
Territorio,Territorio
Coordinate,40°03′N 18°08′E
Altitudine,83 m s.l.m.
Superficie,"21,09 km²"
Abitanti,8 682[2] (30-11-2025)
Densità,"411,66 ab./km²"
Comuni confinanti,"Alezio, Collepasso, Matino, Neviano, Tuglie"
Altre informazioni,Altre informazioni
Cod. postale,73052
Prefisso,0833
Fuso orario,UTC+1
Codice ISTAT,075059
Cod. catastale,G325
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona C, 1 086 GG[4]"
Nome abitanti,Parabitani
Patrono,Maria della Coltura
Giorno festivo,quarta domenica di maggio
Cartografia,Cartografia
Parabita,Parabita
Parabita – MappaPosizione del comune di Parabita all'interno della provincia di Lecce,Parabita – MappaPosizione del comune di Parabita all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
