Salice Salentino comune,Salice Salentino comune.1
,
Salice Salentino – Veduta,Salice Salentino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Cosimo Leuzzi (lista civica) dal 13-06-2022
Territorio,Territorio
Coordinate,40°23′N 17°58′E
Altitudine,47 m s.l.m.
Superficie,"59,87 km²"
Abitanti,7 554[1] (30-11-2025)
Densità,"126,17 ab./km²"
Comuni confinanti,"Avetrana (TA), Campi Salentina, Guagnano, Nardò, San Pancrazio Salentino (BR), Veglie"
Altre informazioni,Altre informazioni
Cod. postale,73015
Prefisso,0832
Fuso orario,UTC+1
Codice ISTAT,075065
Cod. catastale,H708
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 137 GG[3]"
Nome abitanti,salicesi
Patrono,san Francesco d'Assisi
Giorno festivo,4 ottobre
Cartografia,Cartografia
Salice Salentino,Salice Salentino
Salice Salentino – MappaPosizione del comune di Salice Salentino all'interno della provincia di Lecce,Salice Salentino – MappaPosizione del comune di Salice Salentino all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
