Veglie comune,Veglie comune.1
,
Veglie – VedutaPorta Nuova,Veglie – VedutaPorta Nuova
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Mariarosaria De Bartolomeo dal 15-5-2023
Territorio,Territorio
Coordinate,40°20′N 17°58′E
Altitudine,47 m s.l.m.
Superficie,"61,35 km²"
Abitanti,13 065[1] (30-11-2025)
Densità,"212,96 ab./km²"
Frazioni,Monteruga
Comuni confinanti,"Campi Salentina, Carmiano, Leverano, Nardò, Novoli, Salice Salentino"
Altre informazioni,Altre informazioni
Cod. postale,73010
Prefisso,0832
Fuso orario,UTC+1
Codice ISTAT,075092
Cod. catastale,L711
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 137 GG[3]"
Nome abitanti,vegliesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Veglie,Veglie
Veglie – MappaPosizione del comune di Veglie all'interno della provincia di Lecce,Veglie – MappaPosizione del comune di Veglie all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
