Castrignano de' Greci comune,Castrignano de' Greci comune.1
,
Castrignano de' Greci – VedutaPiazza Sant'Antonio,Castrignano de' Greci – VedutaPiazza Sant'Antonio
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Roberto Casaluci (lista civica) dal 12-6-2022
Territorio,Territorio
Coordinate,40°12′N 18°18′E
Altitudine,90 m s.l.m.
Superficie,"9,62 km²"
Abitanti,3 634[1] (30-11-2025)
Densità,"377,75 ab./km²"
Comuni confinanti,"Bagnolo del Salento, Cannole, Carpignano Salentino, Corigliano d'Otranto, Cursi, Martano, Melpignano"
Altre informazioni,Altre informazioni
Cod. postale,73020
Prefisso,0836
Fuso orario,UTC+1
Codice ISTAT,075018
Cod. catastale,C335
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 252 GG[3]"
Nome abitanti,"castrignanesi, o kastrignanì (in grico)"
Patrono,sant'Antonio da Padova
Giorno festivo,23 agosto
Cartografia,Cartografia
Castrignano de' Greci,Castrignano de' Greci
Castrignano de' Greci – MappaPosizione del comune di Castrignano de' Greci all'interno della provincia di Lecce,Castrignano de' Greci – MappaPosizione del comune di Castrignano de' Greci all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
