Minervino di Lecce comune,Minervino di Lecce comune.1
,
Minervino di Lecce – Veduta,Minervino di Lecce – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Antonio Marte (lista civica NOI costruiamo il futuro) dal 10-6-2024
Territorio,Territorio
Coordinate,40°05′00.07″N 18°24′50.26″E
Altitudine,98 m s.l.m.
Superficie,"18,13 km²"
Abitanti,3 402[1] (30-11-2025)
Densità,"187,64 ab./km²"
Frazioni,"Cocumola, Specchia Gallone"
Comuni confinanti,"Giuggianello, Giurdignano, Poggiardo, Santa Cesarea Terme, Uggiano la Chiesa, Otranto"
Altre informazioni,Altre informazioni
Cod. postale,73027
Prefisso,0836
Fuso orario,UTC+1
Codice ISTAT,075047
Cod. catastale,F221
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 199 GG[3]"
Nome abitanti,minervinesi
Patrono,sant'Antonio da Padova
Giorno festivo,13 giugno
Cartografia,Cartografia
Minervino di Lecce,Minervino di Lecce
Minervino di Lecce – MappaPosizione del comune di Minervino di Lecce nella provincia di Lecce,Minervino di Lecce – MappaPosizione del comune di Minervino di Lecce nella provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
