Tiggiano comune,Tiggiano comune.1
,
Tiggiano – Veduta,Tiggiano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Giacomo Cazzato (lista civica Tiggiano al centro) dal 26-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,39°54′N 18°22′E
Altitudine,128 m s.l.m.
Superficie,"7,71 km²"
Abitanti,2 827[1] (30-11-2025)
Densità,"366,67 ab./km²"
Comuni confinanti,"Alessano, Corsano, Tricase"
Altre informazioni,Altre informazioni
Cod. postale,73030
Prefisso,0833
Fuso orario,UTC+1
Codice ISTAT,075086
Cod. catastale,L166
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 221 GG[3]"
Nome abitanti,tiggianesi
Patrono,sant'Ippazio
Giorno festivo,19 gennaio
Cartografia,Cartografia
Tiggiano,Tiggiano
Tiggiano – MappaPosizione del comune di Tiggiano all'interno della provincia di Lecce,Tiggiano – MappaPosizione del comune di Tiggiano all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
