Miggiano comune,Miggiano comune.1
,
"Miggiano – VedutaChiesa madre di San Vincenzo martire, 2008","Miggiano – VedutaChiesa madre di San Vincenzo martire, 2008"
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Michele Pompeo Sperti (lista civica Uniti per Miggiano) dal 26-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,39°58′N 18°19′E
Altitudine,107 m s.l.m.
Superficie,"7,8 km²"
Abitanti,3 222[1] (30-11-2025)
Densità,"413,08 ab./km²"
Comuni confinanti,"Montesano Salentino, Ruffano, Specchia, Tricase"
Altre informazioni,Altre informazioni
Cod. postale,73035
Prefisso,0833
Fuso orario,UTC+1
Codice ISTAT,075046
Cod. catastale,F194
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 316 GG[3]"
Nome abitanti,miggianesi
Patrono,san Vincenzo di Saragozza
Giorno festivo,22 gennaio
Cartografia,Cartografia
Miggiano,Miggiano
Miggiano – MappaPosizione del comune di Miggiano all'interno della provincia di Lecce,Miggiano – MappaPosizione del comune di Miggiano all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
