Cursi comune,Cursi comune.1
,
Cursi – Veduta,Cursi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,William Santoro (lista civica Progetto Cursi) dal 10-06-2024
Territorio,Territorio
Coordinate,40°09′N 18°19′E
Altitudine,91 m s.l.m.
Superficie,"8,36 km²"
Abitanti,3 764[1] (30-11-2025)
Densità,"450,24 ab./km²"
Comuni confinanti,"Bagnolo del Salento, Castrignano de' Greci, Maglie, Melpignano"
Altre informazioni,Altre informazioni
Cod. postale,73020
Prefisso,0836
Fuso orario,UTC+1
Codice ISTAT,075025
Cod. catastale,D223
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 248 GG[3]"
Nome abitanti,cursiati
Patrono,Madonna dell'abbondanza
Giorno festivo,Seconda domenica di luglio
Cartografia,Cartografia
Cursi,Cursi
Cursi – MappaPosizione del comune di Cursi all'interno della provincia di Lecce,Cursi – MappaPosizione del comune di Cursi all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
